name,abv,price,size,kind,establishment_type,bar_name,county_name,beer_category,origin_zone,bar_url,beer_url
Stone Street Tavern Pilsner,4.5,8.0,16.0,Draft,Bar,Stone Street Tavern,New York,Pilsner,city,https://www.beermenus.com/places/2251-stone-street-tavern,https://www.beermenus.com/beers/100056-stone-street-tavern-pilsner
Brooklyn Lager,5.2,9.0,16.0,Draft,Bar,Stone Street Tavern,New York,Lager,city,https://www.beermenus.com/places/2251-stone-street-tavern,https://www.beermenus.com/beers/10-brooklyn-lager
Radiant Pig Save the Robots IPA,7.0,12.0,16.0,Can,Restaurant,The Malt House Fidi,New York,IPA,city,https://www.beermenus.com/places/33669-the-malt-house-fidi,https://www.beermenus.com/beers/129043-radiant-pig-save-the-robots-ipa
Torch And Crown Hard Deadline,8.1,8.0,12.0,Draft,Bar,Murphy's Tavern,New York,IPA,city,https://www.beermenus.com/places/2261-murphy-s-tavern,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,Woodrow's,New York,Lager,city,https://www.beermenus.com/places/4803-woodrow-s,https://www.beermenus.com/beers/10-brooklyn-lager
Springdale Beta Blend: Randolph,6.9,9.0,10.0,Draft,Brewery,Randolph Beer DUMBO,Kings,Ale,city,https://www.beermenus.com/places/48714-randolph-beer-dumbo,https://www.beermenus.com/beers/338834-springdale-beta-blend-randolph
Springdale Beta Blend: Randolph,6.9,9.0,10.0,Draft,Brewery,Randolph Beer DUMBO,New York,Ale,city,https://www.beermenus.com/places/48714-randolph-beer-dumbo,https://www.beermenus.com/beers/338834-springdale-beta-blend-randolph
Talea Bravada,7.0,10.0,10.0,Draft,Bar,Randolph Beer NOLITA,New York,IPA,city,https://www.beermenus.com/places/4245-randolph-beer-nolita,https://www.beermenus.com/beers/333595-talea-bravada
Torch & Crown Intersect: Cashmere + Mosaic,5.1,10.0,10.0,Draft,Bar,Randolph Beer NOLITA,New York,IPA,city,https://www.beermenus.com/places/4245-randolph-beer-nolita,https://www.beermenus.com/beers/335807-torch-crown-intersect-cashmere-mosaic
Torch & Crown Hard Deadline,8.1,10.0,16.0,Can,Bar,One Mile House,New York,IPA,city,https://www.beermenus.com/places/3332-one-mile-house,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Brooklyn Lager,5.2,7.0,16.0,Draft,Bar,Spring Lounge,New York,Lager,city,https://www.beermenus.com/places/49-spring-lounge,https://www.beermenus.com/beers/10-brooklyn-lager
Original Sin Dry Rose Cider,6.5,7.0,12.0,Can,Bar,Spring Lounge,New York,Fruit,city,https://www.beermenus.com/places/49-spring-lounge,https://www.beermenus.com/beers/233574-original-sin-dry-rose-cider
Torch & Crown Lace Em' Up,5.0,8.0,16.0,Draft,Bar,Marshall Stack,New York,Lager,city,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/341498-torch-crown-lace-em-up
Brooklyn Black Ops 2016,10.7,32.0,25.0,Bottle,Bar,Marshall Stack,New York,Stout,city,https://www.beermenus.com/places/6549-marshall-stack,https://www.beermenus.com/beers/171504-brooklyn-black-ops-2016
Brooklyn Defender IPA 2019,5.5,5.0,8.0,Draft,Bar,Brazen Head,Kings,IPA,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/319586-brooklyn-defender-ipa-2019
Brooklyn Defender IPA 2019,5.5,5.0,8.0,Draft,Bar,Brazen Head,New York,IPA,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/319586-brooklyn-defender-ipa-2019
Brooklyn Lager,5.2,5.0,8.0,Draft,Bar,Brazen Head,Kings,Lager,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn Lager,5.2,5.0,8.0,Draft,Bar,Brazen Head,New York,Lager,city,https://www.beermenus.com/places/522-brazen-head,https://www.beermenus.com/beers/10-brooklyn-lager
Talea Pumpkin Roll Tart Deco,7.5,,,Draft,Bar,Fools Gold,New York,Sour,city,https://www.beermenus.com/places/14700-fools-gold,https://www.beermenus.com/beers/340463-talea-pumpkin-roll-tart-deco
Talea Raspberry Crush Gose,5.2,,,Draft,Bar,Fools Gold,New York,Sour,city,https://www.beermenus.com/places/14700-fools-gold,https://www.beermenus.com/beers/328309-talea-raspberry-crush-gose
Torch & Crown Almost Famous,6.6,9.0,16.0,Can,Bar,Benson's NYC,New York,IPA,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/300600-torch-crown-almost-famous
Torch & Crown Hard Deadline,8.1,11.0,16.0,Can,Bar,Benson's NYC,New York,IPA,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/335786-torch-crown-hard-deadline
Torch And Crown Share House,5.4,9.0,16.0,Can,Bar,Benson's NYC,New York,Ale,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/333358-torch-and-crown-share-house
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Benson's NYC,New York,Wheat,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Original Sin Rose Cider,5.0,8.0,12.0,Can,Bar,Benson's NYC,New York,Fruit,city,https://www.beermenus.com/places/20866-benson-s-nyc,https://www.beermenus.com/beers/224476-original-sin-rose-cider
Torch & Crown Wolverine,5.0,9.0,16.0,Can,Bar,Someday Bar NYC,Kings,Lager,city,https://www.beermenus.com/places/63434-someday-bar-nyc,https://www.beermenus.com/beers/341489-torch-crown-wolverine
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Someday Bar NYC,Kings,Wheat,city,https://www.beermenus.com/places/63434-someday-bar-nyc,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Brooklyn Lager,5.2,8.0,16.0,Draft,Bar,Amity Hall,New York,Lager,city,https://www.beermenus.com/places/1345-amity-hall,https://www.beermenus.com/beers/10-brooklyn-lager
Brooklyn East India Pale Ale,6.9,8.0,12.0,Bottle,Bar,Amity Hall,New York,IPA,city,https://www.beermenus.com/places/1345-amity-hall,https://www.beermenus.com/beers/595-brooklyn-east-india-pale-ale
Brooklyn Hand and Seal 2014,13.3,24.0,25.4,Bottle,Bar,Bar Great Harry,Kings,Aged,city,https://www.beermenus.com/places/447-bar-great-harry,https://www.beermenus.com/beers/99054-brooklyn-hand-and-seal-2014
Torch And Crown Slightly Sour,4.0,9.0,16.0,Can,Bar,Bar Great Harry,Kings,Wheat,city,https://www.beermenus.com/places/447-bar-great-harry,https://www.beermenus.com/beers/327056-torch-and-crown-slightly-sour
Torch And Crown Hard Deadline,8.1,8.0,12.0,Draft,Bar,Coopers Craft & Kitchen,New York,IPA,city,https://www.beermenus.com/places/2962-coopers-craft-kitchen,https://www.beermenus.com/beers/339767-torch-and-crown-hard-deadline
Original Sin Black Widow,6.0,7.0,12.0,Bottle,Bar,Coopers Craft & Kitchen,New York,Fruit,city,https://www.beermenus.com/places/2962-coopers-craft-kitchen,https://www.beermenus.com/beers/204758-original-sin-black-widow
