beer_type,beer_category
IPA,IPA
Double IPA,IPA
Cider,Fruit
Pale Lager,Lager
Imperial Stout,Stout
Sour Ale,Sour
American Pale Ale,Ale
Pilsner,Pilsner
NE/Hazy IPA,IPA
Saison,Ale
Witbier,Wheat
Belgian Strong Ale,Belgian
Porter,Stout
Spiced Beer,Other
Stout,Stout
Fruit Beer,Fruit
Gose,Sour
Session IPA,IPA
Tripel,Belgian
Amber Ale,Ale
Oktoberfest,Ale
Brown Ale,Ale
German Hefeweizen,Wheat
Wheat Ale,Wheat
Variety Pack,Other
Blonde Ale,Ale
Premium Lager,Lager
Vienna Lager,Lager
Lager,Lager
Gluten Free Beer,Other
Berliner Weisse,Sour
Milk Stout,Stout
NE/Hazy DIPA,IPA
Belgian Ale,Belgian
American Strong Ale,Aged
Quadrupel,Belgian
Malt Beverage,Lager
Barley Wine,Aged
Helles Lager,Lager
Cream Ale,Ale
Dubbel,Belgian
Dry Stout,Stout
Sweet Stout,Stout
Kolsch,Ale
Non,Other
Lambic - Fruit,Fruit
Flanders Red Ale,Ale
American Wild Ale,Ale
Scotch Ale,Stout
Triple IPA,IPA
Mead,Other
Doppelbock,Ale
ESB,Ale
India Pale Lager (IPL,IPA
Hard Seltzer,Other
Milkshake IPA,IPA
Sour IPA,Sour
Sour Cider,Fruit
Russian Imperial Stout,Stout
English Pale Ale,Ale
Shandy,Fruit
Czech Pilsner,Pilsner
Baltic Porter,Stout
Malt Liquor,Lager
Lambic - Gueuze,Sour
',Other
Black IPA,IPA
Barrel Aged,Aged
Belgian Pale Ale,Belgian
Foreign Stout,Stout
Belgian IPA,Belgian
Weizen Bock,Wheat
Schwarzbier,Stout
Kombucha,Other
Golden Ale,Ale
Old Ale,Aged
Smoked Beer,Stout
Brut IPA,IPA
Winter Warmer,Ale
Maibock,Lager
Dunkel,Lager
Irish Red Ale,Ale
Low Alcohol,Other
Scottish Ale,Stout
Traditional Ale,Ale
Dry Cider,Fruit
Bourbon,Aged
Specialty Grain,Ale
Biere de Garde,Belgian
Kellerbier,Lager
Strong Pale Lager,Lager
Dortmunder,Lager
California Common,Lager
Helles Bock,Ale
White IPA,IPA
Dark Lager,Lager
Rye IPA,IPA
American Brown Ale,Ale
Dunkelweizen,Wheat
Oatmeal Stout,Stout
NE/Hazy TIPA,IPA
Grisette,Wheat
Cocktail,Other
Fruit IPA,IPA
Red Ale,Ale
Red Wine,Other
Soda,Other
English Strong Ale,Ale
Altbier,Ale
Dark Mild,Stout
Cabernet Sauvignon,Other
Scotch,Other
Pastry Stout,Stout
Chardonnay,Other
Rosé,Other
Oud Bruin,Aged
White Wine,Other
Irish Whisky,Other
White Stout,Ale
Fruit Cider,Fruit
Pinot Grigio,Other
Pinot Noir,Other
Red IPA,IPA
Eisbock,Lager
Wheat Wine,Wheat
Sauvignon Blanc,Other
Single Malt,Other
Lambic - Unblended,Fruit
Vodka,Other
Ordinary Bitter,Ale
Rye Whiskey,Other
Tea Beer,Other
Prosecco,Other
Malbec,Other
Farmhouse Ale,Ale
American Whiskey,Other
Merlot,Other
English IPA,IPA
Mexican Lager,Lager
Bock,Ale
Beer Cocktail,Other
German Kristallweizen,Wheat
Imperial Porter,Stout
Dunkles Bock,Ale
Rum,Other
Riesling,Other
Pub Ale,Ale
Off Dry Cider,Fruit
Bière de Champagne,Other
English Brown,Ale
Radler,Fruit
Polotmavy,Other
Gruit,Fruit
Sweet Cider,Fruit
Zinfandel,Other
Wine,Other
Black Ale,Stout
Cyser,Fruit
Cream Pale Ale,Ale
Sparkling Rosé,Other
Sahti,Other
Moscato,Other
Champagne,Other
Whisk,Other
English Mild,Ale
Canadian Whiskey,Other
Pommeau,Other
Lambic - Faro,Fruit
Syrah,Other
Spiced Cider,Fruit
Imperial Red Ale,Ale
Japanese Whiskey,Other
White Zin,Other
Chianti,Other
Grätzer,Other
Reposado,Other
Spiced Rum,Other
Braggot,Other
Non-Alcoholic,Other
India Pale Lager (IPL),Lager
